 < 21:05:54 >  1.04891777038574 42.9708251953125 
 < 21:05:55 >  357.180999755859 1.05503964424133 43.0291595458984 
 < 21:05:56 >  356.873596191406 1.06090354919434 43.0822143554688 
 < 21:05:57 >  356.564697265625 1.06646573543549 43.1296844482422 
 < 21:05:58 >  356.254364013672 1.07167387008667 43.1713676452637 
 < 21:05:59 >  355.942779541016 1.07646679878235 43.20703125 
 < 21:06:00 >  355.630065917969 1.08081078529358 43.236213684082 
 < 21:06:01 >  355.316375732422 1.0846666097641 43.2590713500977 
 < 21:06:02 >  355.001861572266 1.08801758289337 43.2752876281738 
 < 21:06:03 >  354.686706542969 1.0908385515213 43.2849311828613 
 < 21:06:04 >  354.371124267578 1.0930871963501 43.2878494262695 
 < 21:06:05 >  354.055206298828 1.09476947784424 43.2843475341797 
 < 21:06:06 >  353.739166259766 1.09586203098297 43.2743301391602 
 < 21:06:07 >  353.423217773438 1.09636306762695 43.2578010559082 
 < 21:06:08 >  353.107513427734 1.09626340866089 43.2351837158203 
 < 21:06:09 >  352.792205810547 1.09558391571045 43.2066268920898 
 < 21:06:10 >  352.477478027344 1.09432315826416 43.1724128723145 
 < 21:06:11 >  352.163482666016 1.09248101711273 43.1328315734863 
 < 21:06:12 >  351.850372314453 1.09009289741516 43.0883255004883 
 < 21:06:13 >  351.538330078125 1.08717489242554 43.0390281677246 
 < 21:06:14 >  351.227478027344 1.08375608921051 42.9855079650879 
 < 21:06:15 >  350.917938232422 1.07986664772034 42.9281768798828 
 < 21:06:16 >  350.609802246094 1.07554173469543 42.8673210144043 
 < 21:06:17 >  350.303192138672 1.0708075761795 42.803352355957 
 < 21:06:18 >  349.998199462891 1.06570959091187 42.7367057800293 
 < 21:06:19 >  349.694915771484 1.0602867603302 42.6327323913574 
 < 21:06:20 >  349.393432617188 1.05457198619843 42.5971412658691 
 < 21:06:21 >  349.093780517578 1.04860329627991 42.5250434875488 
 < 21:06:22 >  348.796020507813 1.03926610946655 42.4147529602051 
 < 21:06:23 >  348.500183105469 1.03607547283173 42.3777961730957 
 < 21:06:24 >  348.206298828125 1.02958023548126 42.3036460876465 
 < 21:06:25 >  347.769134521484 1.01966536045074 42.1928977966309 
 < 21:06:26 >  347.624389648438 1.01632559299469 42.1563987731934 
 < 21:06:27 >  347.336364746094 1.00963819026947 42.0842475891113 
 < 21:06:28 >  347.05029296875 1.00295555591583 42.0136260986328 
 < 21:06:29 >  346.766174316406 0.996315121650696 41.9450645446777 
 < 21:06:30 >  346.483917236328 0.989753484725952 41.8788833618164 
 < 21:06:31 >  346.203521728516 0.983313918113708 41.8154640197754 
 < 21:06:32 >  345.924896240234 0.97702419757843 41.7554092407227 
 < 21:06:33 >  345.647979736328 0.970926523208618 41.698844909668 
 < 21:06:34 >  345.372741699219 0.965046465396881 41.6459045410156 
 < 21:06:35 >  345.099029541016 0.959415912628174 41.5971069335938 
 < 21:06:36 >  344.826782226563 0.954072833061218 41.5525283813477 
 < 21:06:37 >  344.555908203125 0.949034750461578 41.5125312805176 
 < 21:06:38 >  344.286315917969 0.944307208061218 41.4773254394531 
 < 21:06:39 >  344.017852783203 0.939926624298096 41.4471054077148 
 < 21:06:40 >  343.750457763672 0.935898423194885 41.4217224121094 
 < 21:06:41 >  343.483947753906 0.932246804237366 41.4013633728027 
 < 21:06:42 >  343.21826171875 0.928983688354492 41.3859481811523 
 < 21:06:43 >  342.953277587891 0.926126718521118 41.3756103515625 
 < 21:06:44 >  342.688873291016 0.923662841320038 41.370044708252 
 < 21:06:45 >  342.424926757813 0.920719265937805 41.3709144592285 
 < 21:06:46 >  342.161315917969 0.91993772983551 41.3734283447266 
 < 21:06:47 >  341.897918701172 0.918678760528564 41.3820838928223 
 < 21:06:48 >  341.634613037109 0.917801380157471 41.4029159545898 
 < 21:06:49 >  341.371307373047 0.917312741279602 41.411979675293 
 < 21:06:50 >  341.10791015625 0.917200803756714 41.4330635070801 
 < 21:06:51 >  340.844299316406 0.917701244354248 41.4712982177734 
 < 21:06:52 >  340.580352783203 0.918043494224548 41.4857940673828 
 < 21:06:53 >  340.316009521484 0.918967187404633 41.5173149108887 
