 < 22:17:21 >  0 0 
 < 22:17:22 >  0 0 0 
 < 22:17:23 >  0 0 0 
 < 22:17:24 >  0 0 0 
 < 22:17:25 >  0 0 0 
 < 22:17:26 >  0 0 0 
 < 22:17:27 >  0 0 0 
 < 22:17:28 >  0 0 0 
 < 22:17:29 >  0 0 0 
 < 22:17:30 >  0 0 0 
 < 22:17:31 >  0 0 0 
 < 22:17:32 >  0 0 0 
 < 22:17:33 >  0 0 0 
 < 22:17:34 >  0 0 0 
 < 22:17:35 >  0 0 0 
 < 22:17:36 >  0 0 0 
 < 22:17:37 >  0 0 0 
 < 22:17:38 >  0 0 0 
 < 22:17:39 >  0 0 0 
 < 22:17:40 >  0 0 0 
 < 22:17:41 >  0 0 0 
 < 22:17:42 >  0 0 0 
 < 22:17:43 >  0 0 0 
 < 22:17:44 >  0 0 0 
 < 22:17:45 >  0 0 0 
 < 22:17:46 >  0 0 0 
 < 22:17:47 >  0 0 0 
 < 22:17:48 >  0 0 0 
 < 22:17:49 >  0 0 0 
 < 22:17:50 >  1.22820436954498 16.7984752655029 0 
 < 22:17:51 >  4.53207397460938 23.3498802185059 0 
 < 22:17:52 >  8.02275371551514 23.9395065307617 0 
 < 22:17:53 >  11.5302467346191 23.9925727844238 0 
 < 22:17:54 >  15.039252281189 23.9973487854004 0 
 < 22:17:55 >  18.5483932495117 23.9977798461914 0 
 < 22:17:56 >  22.0575466156006 23.9978179931641 0 
 < 22:17:57 >  27.3212795257568 23.9978218078613 0 
 < 22:17:58 >  29.0758571624756 23.9978218078613 0 
 < 22:17:59 >  32.5850105285645 23.9978218078613 0 
 < 22:18:00 >  36.094165802002 23.9978218078613 0 
 < 22:18:01 >  39.6033210754395 23.9978218078613 0 
 < 22:18:02 >  43.112476348877 23.9978218078613 0 
 < 22:18:03 >  46.6216316223145 23.9978218078613 0 
 < 22:18:04 >  50.130786895752 23.9978218078613 0 
 < 22:18:05 >  55.3945198059082 23.9978218078613 0 
 < 22:18:06 >  57.149097442627 23.9978218078613 0 
 < 22:18:07 >  60.6582527160645 23.9978218078613 0 
 < 22:18:08 >  64.1674041748047 23.9978218078613 0 
 < 22:18:09 >  67.6765594482422 23.9978218078613 0 
 < 22:18:10 >  71.1857147216797 23.9978218078613 0 
 < 22:18:11 >  74.6948699951172 23.9978218078613 0 
 < 22:18:12 >  78.2040252685547 23.9978218078613 0 
 < 22:18:13 >  83.4677581787109 23.9978218078613 0 
 < 22:18:14 >  85.2223358154297 23.9978218078613 0 
 < 22:18:15 >  88.7314910888672 23.9978218078613 0 
 < 22:18:16 >  92.2406463623047 23.9978218078613 0 
 < 22:18:17 >  95.7498016357422 23.9978218078613 0 
 < 22:18:18 >  101.013534545898 23.9978218078613 0 
 < 22:18:19 >  102.768112182617 23.9978218078613 0 
 < 22:18:20 >  106.277267456055 23.9978218078613 0 
 < 22:18:21 >  109.786422729492 23.9978218078613 0 
 < 22:18:22 >  113.29557800293 23.9978218078613 0 
 < 22:18:23 >  116.804733276367 23.9978218078613 0 
 < 22:18:24 >  120.313888549805 23.9978218078613 0 
 < 22:18:25 >  123.823043823242 23.9978218078613 0 
 < 22:18:26 >  127.33219909668 23.9978218078613 0 
 < 22:18:27 >  130.841354370117 23.9978218078613 0 
 < 22:18:28 >  136.105087280273 23.9978218078613 0 
 < 22:18:29 >  137.859664916992 23.9978218078613 0 
 < 22:18:30 >  141.36882019043 23.9978218078613 0 
 < 22:18:31 >  144.877975463867 23.9978218078613 0 
 < 22:18:32 >  148.387130737305 23.9978218078613 0 
 < 22:18:33 >  151.896286010742 23.9978218078613 0 
 < 22:18:34 >  157.160018920898 23.9978218078613 0 
 < 22:18:35 >  158.914596557617 23.9978218078613 0 
 < 22:18:36 >  162.423751831055 23.9978218078613 0 
 < 22:18:37 >  167.687484741211 23.9978218078613 0 
 < 22:18:38 >  169.44206237793 23.9978218078613 0 
 < 22:18:39 >  172.951217651367 23.9978218078613 0 
 < 22:18:40 >  178.214950561523 23.9978218078613 0 
 < 22:18:41 >  179.969528198242 23.9978218078613 0 
 < 22:18:42 >  183.47868347168 23.9978218078613 0 
 < 22:18:43 >  186.987838745117 23.9978218078613 0 
 < 22:18:44 >  190.496994018555 23.9978218078613 0 
 < 22:18:45 >  194.006149291992 23.9978218078613 0 
 < 22:18:46 >  197.51530456543 23.9978218078613 0 
