 < 21:52:43 >  0 0 23,4613780975342 False 
 < 21:52:44 >  0 0 23,5508804321289 False 
 < 21:52:45 >  0 0 23,617992401123 False 
 < 21:52:46 >  0 0 23,5661106109619 False 
 < 21:52:47 >  0 0 23,4859561920166 False 
 < 21:52:48 >  0 0 23,3211460113525 False 
 < 21:52:49 >  0 0 23,3105373382568 False 
 < 21:52:50 >  0 0 23,3449401855469 False 
 < 21:52:51 >  0 0 23,1852569580078 False 
 < 21:52:52 >  0 0 23,6704273223877 False 
 < 21:52:53 >  0 0 23,6388645172119 False 
 < 21:52:54 >  0 0 23,4267959594727 False 
 < 21:52:55 >  0 0 23,3313312530518 False 
 < 21:52:56 >  0 0 23,2316703796387 False 
 < 21:52:57 >  0 0 23,2937145233154 False 
 < 21:52:58 >  0 0 23,4797840118408 False 
 < 21:52:59 >  0 0 23,39990234375 False 0 0 23,39990234375 False 
 < 21:53:00 >  0 0 23,2430019378662 False 0 0 23,2430019378662 False 
 < 21:53:01 >  0 0 23,2065601348877 False 0 0 23,2065601348877 False 
 < 21:53:02 >  0 0 23,317497253418 False 0 0 23,317497253418 False 
 < 21:53:03 >  0 0 23,513614654541 False 0 0 23,513614654541 False 
 < 21:53:04 >  0 0 23,4605674743652 False 0 0 23,4605674743652 False 
 < 21:53:05 >  0 0 23,5327339172363 False 0 0 23,5327339172363 False 
 < 21:53:06 >  0 0 23,4081859588623 False 0 0 23,4081859588623 False 
 < 21:53:07 >  0 0 23,3763542175293 False 0 0 23,3763542175293 False 
 < 21:53:08 >  0 0 23,4146022796631 False 0 0 23,4146022796631 False 
 < 21:53:09 >  0 0 23,2345142364502 False 0 0 23,2345142364502 False 
 < 21:53:10 >  0 0 23,1378440856934 False 0 0 23,1378440856934 False 
 < 21:53:11 >  0 0 22,9820957183838 False 0 0 22,9820957183838 False 
 < 21:53:12 >  0 0 23,3678016662598 False 0 0 23,3678016662598 False 
 < 21:53:13 >  0 0 23,3762149810791 False 0 0 23,3762149810791 False 
 < 21:53:14 >  0 0 23,3999996185303 False 0 0 23,3999996185303 False 
 < 21:53:15 >  0 0 23,4019813537598 False 0 0 23,4019813537598 False 
 < 21:53:16 >  0 0 23,4360084533691 False 0 0 23,4360084533691 False 
 < 21:53:17 >  0 0 23,4578342437744 False 0 0 23,4578342437744 False 
 < 21:53:18 >  0 0 23,7810039520264 False 0 0 23,7810039520264 False 
 < 21:53:19 >  0 0 23,5051498413086 False 0 0 23,5051498413086 False 
 < 21:53:20 >  0 0 23,3361167907715 False 0 0 23,3361167907715 False 
 < 21:53:21 >  0 0 23,5964050292969 False 0 0 23,5964050292969 False 
 < 21:53:22 >  0 0 23,4689540863037 False 0 0 23,4689540863037 False 
 < 21:53:23 >  0 0 23,3501968383789 False 0 0 23,3501968383789 False 
 < 21:53:24 >  0 0 23,2414016723633 False 0 0 23,2414016723633 False 
 < 21:53:25 >  0 0 23,3923759460449 False 0 0 23,3923759460449 False 
 < 21:53:26 >  0 0 23,4921207427979 False 0 0 23,4921207427979 False 
 < 21:53:27 >  0 0 23,4583530426025 False 0 0 23,4583530426025 False 
 < 21:53:28 >  0 0 23,4939079284668 False 0 0 23,4939079284668 False 
 < 21:53:29 >  0 0 23,4218711853027 False 0 0 23,4218711853027 False 
 < 21:53:30 >  0 0 23,5402450561523 False 0 0 23,5402450561523 False 
 < 21:53:31 >  0 0 23,4078426361084 False 0 0 23,4078426361084 False 
 < 21:53:32 >  0 0 23,1490726470947 False 0 0 23,1490726470947 False 
 < 21:53:33 >  0 0 23,0470676422119 False 0 0 23,0470676422119 False 
 < 21:53:34 >  0 0 23,0824165344238 False 0 0 23,0824165344238 False 
 < 21:53:35 >  0 0 23,5881404876709 False 0 0 23,5881404876709 False 
 < 21:53:36 >  0 0 23,4365119934082 False 0 0 23,4365119934082 False 
 < 21:53:37 >  0 0 23,2692775726318 False 0 0 23,2692775726318 False 
 < 21:53:38 >  0 0 23,2345733642578 False 0 0 23,2345733642578 False 
 < 21:53:39 >  0 0 23,2473087310791 False 0 0 23,2473087310791 False 
 < 21:53:40 >  0 0 23,2926635742188 False 0 0 23,2926635742188 False 
 < 21:53:41 >  0 0 23,3999996185303 False 0 0 23,3999996185303 False 
 < 21:53:42 >  0 0 23,4019813537598 False 0 0 23,4019813537598 False 
 < 21:53:43 >  0 0 23,4360084533691 False 0 0 23,4360084533691 False 
 < 21:53:44 >  0 0 23,4578342437744 False 0 0 23,4578342437744 False 
 < 21:53:45 >  0 0 23,7810039520264 False 0 0 23,7810039520264 False 
 < 21:53:46 >  0 0 23,5051498413086 False 0 0 23,5051498413086 False 
 < 21:53:47 >  0 0 23,3361167907715 False 0 0 23,3361167907715 False 
 < 21:53:48 >  0 0 23,5964050292969 False 0 0 23,5964050292969 False 
 < 21:53:49 >  0 0 23,4689540863037 False 0 0 23,4689540863037 False 
 < 21:53:50 >  0 0 23,3999996185303 False 0 0 23,3999996185303 False 
 < 21:53:51 >  0 0 23,2414016723633 False 0 0 23,2414016723633 False 
 < 21:53:52 >  0 0 23,3923759460449 False 0 0 23,3923759460449 False 
 < 21:53:53 >  0 0 23,4921207427979 False 0 0 23,4921207427979 False 
 < 21:53:54 >  0 0 23,4583530426025 False 0 0 23,4583530426025 False 
 < 21:53:55 >  0 0 23,4939079284668 False 0 0 23,4939079284668 False 
 < 21:53:56 >  0 0 23,4218711853027 False 0 0 23,4218711853027 False 
 < 21:53:57 >  0 0 23,5402450561523 False 0 0 23,5402450561523 False 
 < 21:53:58 >  0 0 23,4078426361084 False 0 0 23,4078426361084 False 
 < 21:53:59 >  0 0 23,1490726470947 False 0 0 23,1490726470947 False 
 < 21:54:00 >  0 0 23,0470676422119 False 0 0 23,0470676422119 False 
 < 21:54:01 >  0 0 23,0824165344238 False 0 0 23,0824165344238 False 
 < 21:54:02 >  0 0 23,5881404876709 False 0 0 23,5881404876709 False 
 < 21:54:03 >  0 0 23,4365119934082 False 0 0 23,4365119934082 False 
 < 21:54:04 >  0 0 23,2692775726318 False 0 0 23,2692775726318 False 
 < 21:54:05 >  0 0 23,2345733642578 False 0 0 23,2345733642578 False 
 < 21:54:06 >  0 0 23,2473087310791 False 0 0 23,2473087310791 False 
 < 21:54:07 >  0 25 23,2926635742188 False 0 25 23,2926635742188 False 
 < 21:54:08 >  0 25 23,2999706268311 False 0 25 23,2999706268311 False 
 < 21:54:09 >  0 25 23,3463897705078 False 0 25 23,3463897705078 False 
 < 21:54:10 >  0 25 24,3726425170898 False 0 25 24,3726425170898 False 
 < 21:54:11 >  0 25 24,2791137695313 False 0 25 24,2791137695313 False 
 < 21:54:12 >  0 25 24,4395503997803 False 0 25 24,4395503997803 False 
 < 21:54:13 >  0 25 24,8266124725342 False 0 25 24,8266124725342 False 
 < 21:54:14 >  0 25 25,0286064147949 False 0 25 25,0286064147949 False 
 < 21:54:15 >  0 25 25,1538410186768 False 0 25 25,1538410186768 False 
 < 21:54:16 >  0 25 25,2418880462646 False 0 25 25,2418880462646 False 
 < 21:54:17 >  0 25 25,3975448608398 False 0 25 25,3975448608398 False 
 < 21:54:18 >  0 25 25,6318626403809 False 0 25 25,6318626403809 False 
 < 21:54:19 >  0 25 25,7273387908936 False 0 25 25,7273387908936 False 
 < 21:54:20 >  0 25 26,2039051055908 False 0 25 26,2039051055908 False 
 < 21:54:21 >  0 25 26,5971717834473 False 0 25 26,5971717834473 False 
 < 21:54:22 >  0 25 26,6992893218994 False 0 25 26,6992893218994 False 
 < 21:54:23 >  0 25 26,6071815490723 False 0 25 26,6071815490723 False 
 < 21:54:24 >  0 25 26,7307147979736 False 0 25 26,7307147979736 False 
 < 21:54:25 >  0 25 26,8605537414551 False 0 25 26,8605537414551 False 
 < 21:54:26 >  0 25 27,1514930725098 False 0 25 27,1514930725098 False 
 < 21:54:27 >  0 25 27,4929962158203 False 0 25 27,4929962158203 False 
 < 21:54:28 >  0 25 27,5284118652344 False 0 25 27,5284118652344 False 
 < 21:54:29 >  0 25 27,5040397644043 False 0 25 27,5040397644043 False 
 < 21:54:30 >  0 25 27,6916542053223 False 0 25 27,6916542053223 False 
 < 21:54:31 >  0 25 27,9994335174561 False 0 25 27,9994335174561 False 
 < 21:54:32 >  0 25 28,3769931793213 False 0 25 28,3769931793213 False 
 < 21:54:33 >  0 25 28,3755168914795 False 0 25 28,3755168914795 False 
 < 21:54:34 >  0 25 28,6540451049805 False 0 25 28,6540451049805 False 
 < 21:54:35 >  0 25 28,5912895202637 False 0 25 28,5912895202637 False 
 < 21:54:36 >  0 25 28,7763805389404 False 0 25 28,7763805389404 False 
 < 21:54:37 >  0 25 28,9524059295654 False 0 25 28,9524059295654 False 
 < 21:54:38 >  0 25 28,8192901611328 False 0 25 28,8192901611328 False 
 < 21:54:39 >  0 25 28,8466053009033 False 0 25 28,8466053009033 False 
 < 21:54:40 >  0 25 29,1840381622314 False 0 25 29,1840381622314 False 
 < 21:54:41 >  0 25 29,456787109375 False 0 25 29,456787109375 False 
 < 21:54:42 >  0 25 29,5713214874268 False 0 25 29,5713214874268 False 
 < 21:54:43 >  0 25 29,7245769500732 False 0 25 29,7245769500732 False 
 < 21:54:44 >  0 25 29,8568019866943 False 0 25 29,8568019866943 False 
 < 21:54:45 >  0 25 30,0216808319092 False 0 25 30,0216808319092 False 
 < 21:54:46 >  0 25 30,3619575500488 False 0 25 30,3619575500488 False 
 < 21:54:47 >  0 25 30,5994300842285 False 0 25 30,5994300842285 False 
 < 21:54:48 >  0 25 30,2776317596436 False 0 25 30,2776317596436 False 
 < 21:54:49 >  0 25 30,5398139953613 False 0 25 30,5398139953613 False 
 < 21:54:50 >  0 25 30,6343154907227 False 0 25 30,6343154907227 False 
 < 21:54:51 >  0 25 30,6104106903076 False 0 25 30,6104106903076 False 
 < 21:54:52 >  0 25 30,6143379211426 False 0 25 30,6143379211426 False 
 < 21:54:53 >  0 25 30,7999019622803 False 0 25 30,7999019622803 False 
 < 21:54:54 >  0 25 31,0234622955322 False 0 25 31,0234622955322 False 
 < 21:54:55 >  0 25 31,1102142333984 False 0 25 31,1102142333984 False 
 < 21:54:56 >  0 25 31,2327117919922 False 0 25 31,2327117919922 False 
 < 21:54:57 >  0 25 31,3372821807861 False 0 25 31,3372821807861 False 
 < 21:54:58 >  0 25 31,327880859375 False 0 25 31,327880859375 False 
 < 21:54:59 >  0 25 31,6252422332764 False 0 25 31,6252422332764 False 
 < 21:55:00 >  0 25 31,4662666320801 False 0 25 31,4662666320801 False 
 < 21:55:01 >  0 25 31,2541065216064 False 0 25 31,2541065216064 False 
 < 21:55:02 >  0 25 31,3495712280273 False 0 25 31,3495712280273 False 
 < 21:55:03 >  0 25 31,786750793457 False 0 25 31,786750793457 False 
 < 21:55:04 >  0 25 32,0848045349121 False 0 25 32,0848045349121 False 
 < 21:55:05 >  0 25 31,9059391021729 False 0 25 31,9059391021729 False 
 < 21:55:06 >  0 25 31,8498764038086 False 0 25 31,8498764038086 False 
 < 21:55:07 >  0 25 31,921422958374 False 0 25 31,921422958374 False 
 < 21:55:08 >  0 25 32,0528831481934 False 0 25 32,0528831481934 False 
 < 21:55:09 >  0 25 32,1373748779297 False 0 25 32,1373748779297 False 
 < 21:55:10 >  0 25 32,3111915588379 False 0 25 32,3111915588379 False 
 < 21:55:11 >  0 25 32,3919448852539 False 0 25 32,3919448852539 False 
 < 21:55:12 >  0 25 32,5063743591309 False 0 25 32,5063743591309 False 
 < 21:55:13 >  0 25 32,7972068786621 False 0 25 32,7972068786621 False 
 < 21:55:14 >  0 25 32,9862174987793 False 0 25 32,9862174987793 False 
 < 21:55:15 >  0 25 32,6169204711914 False 0 25 32,6169204711914 False 
 < 21:55:16 >  0 25 32,8325500488281 False 0 25 32,8325500488281 False 
 < 21:55:17 >  0 25 32,8814277648926 False 0 25 32,8814277648926 False 
 < 21:55:18 >  0 25 32,7941932678223 False 0 25 32,7941932678223 False 
 < 21:55:19 >  0 25 32,7729034423828 False 0 25 32,7729034423828 False 
 < 21:55:20 >  0 25 32,9155120849609 False 0 25 32,9155120849609 False 
 < 21:55:21 >  0 25 33,0969734191895 False 0 25 33,0969734191895 False 
 < 21:55:22 >  0 25 33,1424598693848 False 0 25 33,1424598693848 False 
 < 21:55:23 >  0 25 33,2245178222656 False 0 25 33,2245178222656 False 
 < 21:55:24 >  0 25 33,2894515991211 False 0 25 33,2894515991211 False 
 < 21:55:25 >  0 25 33,2412033081055 False 0 25 33,2412033081055 False 
 < 21:55:26 >  0 25 33,50048828125 False 0 25 33,50048828125 False 
 < 21:55:27 >  0 25 33,3041954040527 False 0 25 33,3041954040527 False 
 < 21:55:28 >  0 25 33,0554618835449 False 0 25 33,0554618835449 False 
 < 21:55:29 >  0 25 33,1150779724121 False 0 25 33,1150779724121 False 
 < 21:55:30 >  0 25 33,5171241760254 False 0 25 33,5171241760254 False 
 < 21:55:31 >  0 25 33,7807464599609 False 0 25 33,7807464599609 False 
 < 21:55:32 >  0 25 33,5681304931641 False 0 25 33,5681304931641 False 
 < 21:55:33 >  0 25 33,4789886474609 False 0 25 33,4789886474609 False 
 < 21:55:34 >  0 25 33,5181159973145 False 0 25 33,5181159973145 False 
 < 21:55:35 >  0 25 33,6178016662598 False 0 25 33,6178016662598 False 
 < 21:55:36 >  0 25 33,6711540222168 False 0 25 33,6711540222168 False 
 < 21:55:37 >  0 25 33,7523880004883 False 0 25 33,7523880004883 False 
 < 21:55:38 >  0 25 33,9907875061035 False 0 25 33,9907875061035 False 
 < 21:55:39 >  0 25 34,1280326843262 False 0 25 34,1280326843262 False 
 < 21:55:40 >  0 25 33,99755859375 False 0 25 33,99755859375 False 
 < 21:55:41 >  0 25 34,1261405944824 False 0 25 34,1261405944824 False 
 < 21:55:42 >  0 25 34,2315559387207 False 0 25 34,2315559387207 False 
 < 21:55:43 >  0 25 34,217212677002 False 0 25 34,217212677002 False 
 < 21:55:44 >  0 25 34,1738510131836 False 0 25 34,1738510131836 False 
 < 21:55:45 >  0 25 34,0451011657715 False 0 25 34,0451011657715 False 
 < 21:55:46 >  0 25 34,0698356628418 False 0 25 34,0698356628418 False 
 < 21:55:47 >  0 25 34,1388778686523 False 0 25 34,1388778686523 False 
 < 21:55:48 >  0 25 34,0131454467773 False 0 25 34,0131454467773 False 
 < 21:55:49 >  0 25 34,5315933227539 False 0 25 34,5315933227539 False 
 < 21:55:50 >  0 25 34,532642364502 False 0 25 34,532642364502 False 
